Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Mark Twain's Huckleberry Finn (The writings of Mark Twain),"Referring to ""Adventures of Huckleberry Finn, "" H. L. Mencken noted that his discovery of this classic American novel was ""the most stupendous event of my whole life""; Ernest Hemingway declared that ""all modern American literature stems from this one book,"" while T. S. Eliot called Huck ""one of the permanent symbolic figures of fiction, not unworthy to take a place with Ulysses, Faust, Don Quixote, Don Juan, Hamlet."" The novel's preeminence derives from its wonderfully imaginative re-creation of boyhood adventures along the mighty Mississippi River, its inspired characterization, the author's remarkable ear for dialogue, and the book's understated development of serious underlying themes: ""natural"" man versus ""civilized"" society, the evils of slavery, the innate value and dignity of human beings, the stultifying effects of convention, and other topics. But most of all, ""Adventures of Huckleberry Finn"" is a wonderful story filled with high adventure and unforgettable characters (including the great river itself) that no one who has read it will ever forget. Unabridged Dover (1994) republication of the text of the first American edition, published by Charles L. Webster and Company, New York, 1885. New introductory Note.""",['Mark Twain'],http://books.google.com/books/content?id=mWHcDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=mWHcDAAAQBAJ&printsec=frontcover&dq=Mark+Twain%27s+Huckleberry+Finn+(The+writings+of+Mark+Twain)&hl=&cd=1&source=gbs_api,Courier Corporation,1994-05-26,http://books.google.nl/books?id=mWHcDAAAQBAJ&dq=Mark+Twain%27s+Huckleberry+Finn+(The+writings+of+Mark+Twain)&hl=&source=gbs_api,['Fiction'],
Is Shakespeare dead? from my autobiography.,"""Is Shakespeare Dead?"" by Mark Twain. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",['Mark Twain'],http://books.google.com/books/content?id=i-DCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=i-DCDwAAQBAJ&printsec=frontcover&dq=Is+Shakespeare+dead%3F+from+my+autobiography.&hl=&cd=1&source=gbs_api,Good Press,2019-11-21,https://play.google.com/store/books/details?id=i-DCDwAAQBAJ&source=gbs_api,['Fiction'],
"Mark Twain's Autobiography, in Two Volumes (Volume II)","Mark Twain’s complete, uncensored Autobiography was an instant bestseller when the first volume was published in 2010, on the centennial of the author’s death, as he requested. Published to rave reviews, the Autobiography was hailed as the capstone of Twain’s career. It captures his authentic and unsuppressed voice, speaking clearly from the grave and brimming with humor, ideas, and opinions. The eagerly-awaited Volume 2 delves deeper into Mark Twain’s life, uncovering the many roles he played in his private and public worlds. Filled with his characteristic blend of humor and ire, the narrative ranges effortlessly across the contemporary scene. He shares his views on writing and speaking, his preoccupation with money, and his contempt for the politics and politicians of his day. Affectionate and scathing by turns, his intractable curiosity and candor are everywhere on view. Editors: Benjamin Griffin and Harriet E. Smith Associate Editors: Victor Fischer, Michael B. Frank, Sharon K. Goetz and Leslie Diane Myrick",['Mark Twain'],http://books.google.com/books/content?id=HXQKAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=HXQKAQAAQBAJ&printsec=frontcover&dq=Mark+Twain%27s+Autobiography,+in+Two+Volumes+(Volume+II)&hl=&cd=1&source=gbs_api",Univ of California Press,2013-10-05,https://play.google.com/store/books/details?id=HXQKAQAAQBAJ&source=gbs_api,['Literary Criticism'],
Carlyles at Home,"The Carlyles at Home and Abroad explores the extensive influence of Thomas Carlyle and Jane Welsh Carlyle in England and Scotland, Europe, and the United States. The contributors explore a wide range of topics, such as aesthetics, history, biography, literature, travel writing, feminism and race. The result is a volume that offers a fresh assessment of the couple as national and international figures. Contributors include K.J. Fielding (The Late Carlyle), Ruth apRoberts (Frederick the Great), David DeLaura (Carlyle and the Fine Arts), David R. Sorensen (Carlyle and Herzen), Owen Dudley Edwards (Carlyle and Ireland), Alain Jumeau (Carlyle and France), Marylu Hill (Carlyles Early History), Ronald Wendling (Carlyle and Coleridge), Cairns Craig (Carlyle and Symbolism), Brent Kinser (Carlyle and Mark Twain), Andrew Taylor (Carlyle and the James Family), Chris R. Vanden Bossche (Carlyle and Race), Vanessa D. Dickerson, (The Negro Question), Sheila McIntosh (Carlyle and Aristocracy), Rosemary Ashton (The Carlyles German Courtship), Ian Campbell, (Jane Welsh Carlyle and Geraldine Jewsbury), Rodger L. Tarr (Jane Welsh Carlyle and Psycho-Feminism), Aileen Christianson (Jane Welsh Carlyles Travel Narratives), Norma Clarke (Jane Welsh Carlyle and Rousseau), Kathy Chamberlain (Jane Welsh Carlyles Fiction) and Mark Engel (Collating Carlyle Editions).",['Rodger L. Tarr'],http://books.google.com/books/content?id=xJxADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xJxADwAAQBAJ&printsec=frontcover&dq=Carlyles+at+Home&hl=&cd=1&source=gbs_api,Routledge,2017-11-28,https://play.google.com/store/books/details?id=xJxADwAAQBAJ&source=gbs_api,['Literary Criticism'],
Huck Finn : Tomo II,,['Mark Twain'],http://books.google.com/books/content?id=Wo4xAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Wo4xAQAAMAAJ&pg=PA2&dq=Huck+Finn+:+Tomo+II&hl=&cd=1&source=gbs_api,,1885,https://play.google.com/store/books/details?id=Wo4xAQAAMAAJ&source=gbs_api,,
Graphic Classics: Mark Twain (Graphic Classics (Eureka)),"Here is the essential guide for librarians and teachers who want to develop a quality, curriculum-based graphic novel collection—and use its power to engage and inform middle and high school students. • Photos of school libraries, classrooms, and students • Model template lesson plans by subject area • A list of recommended resources, such as professional books, websites and blogs • A glossary of common graphic novel terms • Bibliographies of quality classic and contemporary graphic novel titles for libraries and classrooms, broken down into middle school and high school curricular areas","['Karen W. Gavigan', 'Mindy Tomasevich']",http://books.google.com/books/content?id=uFmiH_OQcx4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=uFmiH_OQcx4C&pg=PA75&dq=Graphic+Classics:+Mark+Twain+(Graphic+Classics+(Eureka))&hl=&cd=1&source=gbs_api,ABC-CLIO,2011-09-29,https://play.google.com/store/books/details?id=uFmiH_OQcx4C&source=gbs_api,['Language Arts & Disciplines'],
The Fools in Town Are on Our Side,"""Hain't we got all the fools in town on our side? And ain't that a big enough majority in any town?"" -- Mark Twain Ross Thomas chose the quotation from Huckleberry Finn as the text of his post World War II story as well as for the title. When Lucifer Dye is released from three months in a Hong Kong prison, debriefed, handed a false passport, a new wardrobe and a $20,000 check, his haughty control makes it clear that Dye's career with his country has been permanently terminated. But a good agent is always in demand, and just a few hours later Dye is being interviewed for a highly ingenious position. Victor Orcutt, although a not very good imitation of a British pre-war gent, has creative talents of his own. He has his sights a small southern city, with the ordinary run-of-the-mill corruption one would expect in such a place. The canny Orcott knows there's no profit in that . His creed is ""To get better, it must be much worse."" He and his two associates have looked up Dye's history, and he now offers the ex-spy's a mission. For two and a half times the government's bounty, Dye is to thoroughly corrupt the town. And the sly Dye takes the offer.",['Ross Thomas'],http://books.google.com/books/content?id=zMWEVj-Kv0cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=zMWEVj-Kv0cC&printsec=frontcover&dq=The+Fools+in+Town+Are+on+Our+Side&hl=&cd=1&source=gbs_api,Minotaur Books,2007-04-01,https://play.google.com/store/books/details?id=zMWEVj-Kv0cC&source=gbs_api,['Fiction'],2.0
Mark Twain's letters from Hawaii,"Presents twenty-five letters written from Hawaii by Mark Twain in 1866 while he was working as a roving reporter for the Sacramento ""Union,"" newspaper in which he shares his observations on the industry, people, scenery, climate, culture, society, and other aspects of life in the islands.",['Mark Twain'],http://books.google.com/books/content?id=f_JdaWvUJQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=f_JdaWvUJQoC&printsec=frontcover&dq=Mark+Twain%27s+letters+from+Hawaii&hl=&cd=1&source=gbs_api,University of Hawaii Press,1975-07-01,http://books.google.nl/books?id=f_JdaWvUJQoC&dq=Mark+Twain%27s+letters+from+Hawaii&hl=&source=gbs_api,['Biography & Autobiography'],2.0
Sunshine Sketches of a Little Town (Norton Critical Edition),"Canada's answer to Mark Twain and Charles Dickens, Stephen Leacock was a master of humor and characterization. His endearing portrayals of small-town life in Ontario and his memorable characters place him in the company of Canada's finest writers. This Norton Critical Edition of Sunshine Sketches of a Little Town uses the text of the 1912 first edition, second impression, the only edition that takes into account the corrections made between impressions. It is accompanied by explanatory annotations and textual emendations. Backgrounds and Contexts includes a concise excerpt on Sunshine Sketches from the leading Leacock biography, as well as a selection of contemporary reviews from Canada, Britain, and the United States. Criticism is comprised of two sections. The first presents eight scholarly interpretations, by Desmond Pacey, Silver Donald Cameron, W. H. Magee, Ina Ferris, Beverly J. Rasporich, Frank Birbalsingh, Gerald Lynch, and Glenn Willmont, selected for their contribution to critical discussion of the novel. The second brings together responses to the novel by esteemed Canadian novelists Robertson Davies, Guy Vanderhaeghe, and Mordecai Richler. A Chronology and Selected Bibliography are also included. About the Series: No other series of classic texts equals the caliber of the Norton Critical Editions. Each volume combines the most authoritative text available with the comprehensive pedagogical apparatus necessary to appreciate the work fully. Careful editing, first-rate translation, and thorough explanatory annotations allow each text to meet the highest literary standards while remaining accessible to students. Each edition is printed on acid-free paperand every text in the series remains in print. Norton Critical Editions are the choice for excellence in scholarship for students at more than 2,000 universities worldwide.","['Stephen Leacock', 'D. M. R. Bentley']",http://books.google.com/books/content?id=ULaqQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=ULaqQgAACAAJ&dq=Sunshine+Sketches+of+a+Little+Town+(Norton+Critical+Edition)&hl=&cd=1&source=gbs_api,New York : W.W. Norton,2006,http://books.google.nl/books?id=ULaqQgAACAAJ&dq=Sunshine+Sketches+of+a+Little+Town+(Norton+Critical+Edition)&hl=&source=gbs_api,['Fiction'],5.0
Have I Ever Lied To You? (Political Humor),"“A delightful and entertaining book about one of America’s greatest humorists.”—Seth Meyers This “absorbing, illuminating” (Jon Meacham) biography of the legendary political humorist reveals the life behind his must-read Washington Post columns, featuring never-before-published photos, documents, and interviews. Before Jon Stewart, Stephen Colbert, Trevor Noah, and Doonesbury, there was Art Buchwald. For more than fifty years, from 1949 to 2006, Art Buchwald’s Pulitzer Prize–winning column of political satire and biting wit made him one of the most widely read American humorists and a popular player in the Washington world of Ethel and Ted Kennedy, Ben Bradlee, and Katharine Graham. Dean Acheson, former U.S. Secretary of State, called Buchwald the “greatest satirist in the English language since Pope and Swift.” Drawing on Buchwald’s most memorable columns and unpublished correspondence with other famous people, Funny Business shows how Art Buchwald became an American original. Like Mark Twain, Dorothy Parker, and James Thurber, he satirized political scoundrels, lampooned the powerful, and “worshipped the quicksand” that ten presidents walked on, as Buchwald joked. “The key to Buchwald’s style of humor, he once stated, was to “treat light subjects seriously and serious subjects lightly.” But there was a darker, more serious side to Art Buchwald. A childhood spent in foster homes taught him to see comedy as a refuge. Buchwald also struggled with depression, a secret he kept from the public for nearly thirty years. This revealing book is studded with stories of Buchwald’s friendships with Humphrey Bogart, John Steinbeck, Irwin Shaw, William Styron, Erma Bombeck, Frank Sinatra, Adam West (""Batman""), Robert Frost, and others. Throughout his career, Buchwald wrote about such historical events as the Vietnam War, the assassinations of John and Robert Kennedy, Watergate, and the 9/11 terrorist attack. Featured here are stories of Buchwald’s nonstop one-liners, known in his day as “Buchshots.” Entertaining and absorbing, Funny Business looks back on Buchwald’s brilliant gift for humor and satire, which will once again bring readers a comedic respite from troublesome times.",['Michael Hill'],http://books.google.com/books/content?id=eLlBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=eLlBEAAAQBAJ&pg=PA252&dq=Have+I+Ever+Lied+To+You%3F+(Political+Humor)&hl=&cd=1&source=gbs_api,Random House,2022-06-07,https://play.google.com/store/books/details?id=eLlBEAAAQBAJ&source=gbs_api,['Biography & Autobiography'],
What social classes owe to each other (The Freeman),"This collection seeks to place Pudd’nhead Wilson—a neglected, textually fragmented work of Mark Twain’s—in the context of contemporary critical approaches to literary studies. The editors’ introduction argues the virtues of using Pudd’nhead Wilson as a teaching text, a case study in many of the issues presently occupying literary criticism: issues of history and the uses of history, of canon formation, of textual problematics, and finally of race, class, and gender. In a variety of ways the essays build arguments out of, not in spite of, the anomalies, inconsistencies, and dead ends in the text itself. Such wrinkles and gaps, the authors find, are the symptoms of an inconclusive, even evasive, but culturally illuminating struggle to confront and resolve difficult questions bearing on race and sex. Such fresh, intellectually enriching perspectives on the novel arise directly from the broad-based interdisciplinary foundations provided by the participating scholars. Drawing on a wide variety of critical methodologies, the essays place the novel in ways that illuminate the world in which it was produced and that further promise to stimulate further study. Contributors. Michael Cowan, James M. Cox, Susan Gillman, Myra Jehlen, Wilson Carey McWilliams, George E. Marcus, Carolyn Porter, Forrest Robinson, Michael Rogin, John Carlos Rowe, John Schaar, Eric Sundquist","['Susan Gillman', 'Forrest G. Robinson']",http://books.google.com/books/content?id=VnGioS4vjiAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=VnGioS4vjiAC&pg=PA219&dq=What+social+classes+owe+to+each+other+(The+Freeman)&hl=&cd=1&source=gbs_api,Duke University Press,1990-07-20,https://play.google.com/store/books/details?id=VnGioS4vjiAC&source=gbs_api,['Literary Criticism'],1.0
River Rats,"“Calling to mind such widely disparate writers as Mark Twain, Andre Norton and Peter Dickinson, Stevermer paints a realistic ruin of society.” —Publishers Weekly The award-winning author of the Scholarly Magic series delivers the thrilling adventure of a crew of young kids working their way through a post-apocalyptic world on a steamboat they call home . . . No one knows for sure what caused the Flash. They just know that nothing has been the same since. Cities have been destroyed by pestilence, riots, and fires. The paddleboat River Rat, once a museum, was turned into an orphanage. But a dangerous storm forced the children to flee with the boat to safer waters, making it theirs for good. Since then, Tomcat, Toby, Esteban, Lindy, Spike, and Jake have traveled, bartered, and performed their way up and down the Mississippi River. One rule that has served them well: no passengers. But after watching a man on shore being pursued by a vicious pack of locals, the group has no choice but to save him. At every stop, the boat is met by the man’s tireless hunters. They want what the fugitive knows: the location of a bunker filled with guns. A currency more valuable than gold . . . and one that the crew of the River Rat might well pay for—with their lives. “An unusual, compelling futuristic novel . . . wry, sharp, lively, and perceptive.” —The Horn Book (starred review) “Too good to miss.” —Booklist An ALA Best Book for Young Adults A New York Public Library Book for the Teen Age",['Caroline Stevermer'],http://books.google.com/books/content?id=ScNZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ScNZEAAAQBAJ&pg=PP1&dq=River+Rats&hl=&cd=1&source=gbs_api,Open Road Media,2022-03-15,https://play.google.com/store/books/details?id=ScNZEAAAQBAJ&source=gbs_api,['Young Adult Fiction'],
Tom Sawyer & the Spiritual Whirlwind,The adventures of a mischievous young boy and his friends growing up in a Mississippi River town in the nineteenth century.,['Mark Twain'],http://books.google.com/books/content?id=t5yFTpIJYhcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=t5yFTpIJYhcC&printsec=frontcover&dq=Tom+Sawyer&hl=&cd=1&source=gbs_api,"Sterling Publishing Company, Inc.",2004,http://books.google.com/books?id=t5yFTpIJYhcC&dq=Tom+Sawyer&hl=&source=gbs_api,['Juvenile Fiction'],51.0
"The Adventures of Huckleberry Finn - Illustrated Classic Editions (Moby Books, 4516) (Moby Books, 4516)",,['Mark Twain'],,"http://books.google.com/books?id=1ndCzgEACAAJ&dq=The+Adventures+of+Huckleberry+Finn+-+Illustrated+Classic+Editions+(Moby+Books,+4516)+(Moby+Books,+4516)&hl=&cd=1&source=gbs_api",SeaWolf Press,2021-02-24,"http://books.google.com/books?id=1ndCzgEACAAJ&dq=The+Adventures+of+Huckleberry+Finn+-+Illustrated+Classic+Editions+(Moby+Books,+4516)+(Moby+Books,+4516)&hl=&source=gbs_api",,
Everyday Life in the Ancient World: A Guide to Travel in Ancient Times,"This entertaining classroom supplement provides students with an intimate view of the people and events that have shaped the world! Activities will pique students' interest and serve as a springboard for discussion. Topics covered include ancient Egypt, the early Olympic games, life in Rome, the Mongols, ancient China, Vikings, the Middle Ages, the Titanic, and more! Reading passages are accompanied by fun quizzes, puzzles, logic problems, to reinforce learning. An answer key is also included. --Mark Twain Media Publishing Company specializes in providing captivating, supplemental books and decorative resources to complement middle- and upper-grade classrooms. Designed by leading educators, the product line covers a range of subjects including mathematics, sciences, language arts, social studies, history, government, fine arts, and character. Mark Twain Media also provides innovative classroom solutions for bulletin boards and interactive whiteboards. Since 1977, Mark Twain Media has remained a reliable source for a wide variety of engaging classroom resources.",['Don Blattner'],http://books.google.com/books/content?id=Xrd2BgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Xrd2BgAAQBAJ&pg=PA127&dq=Everyday+Life+in+the+Ancient+World:+A+Guide+to+Travel+in+Ancient+Times&hl=&cd=1&source=gbs_api,Mark Twain Media,2003-01-01,http://books.google.com/books?id=Xrd2BgAAQBAJ&dq=Everyday+Life+in+the+Ancient+World:+A+Guide+to+Travel+in+Ancient+Times&hl=&source=gbs_api,['Juvenile Nonfiction'],1.0
Don't Quote Me,"Dont Quote Me is an inspirational book that is a culmination of observations and information of Stevens life sprinkled with famous quotations used to frame his opinions. His goal is to inspire the self confidence that will allow his readers to discover their own individual formula for a successful, happy life. He uses inspiring quotations from the lyrics of classic rock & roll artists as well as athletes, poets, writers and other famous people from all walks of life, including Bruce Springsteen U2 John Lennon Bob Dylan Billy Joel The Rolling Stones Led Zeppelin Elton John Jay-Z Grateful Dead Oprah Winfrey Marilyn Monroe Magic Johnson Abraham Lincoln Yogi Berra Richard Branson Woody Allen Lucille Ball Mark Twain Jim Valvano",['Steven Pollack'],http://books.google.com/books/content?id=Sq3YDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Sq3YDQAAQBAJ&pg=PP1&dq=Don%27t+Quote+Me&hl=&cd=1&source=gbs_api,Balboa Press,2016-12-23,https://play.google.com/store/books/details?id=Sq3YDQAAQBAJ&source=gbs_api,['Self-Help'],
The Prince and the Pauper (Mark Twain Library),"""What am I writing? A historical tale of 300 years ago, simply for the love of it."" Mark Twain's tale, in which a sixteenth-century English prince and the pauper boy that looks just like him are forced to changed places, has become a classic of American literature. Published in 1881, Mark Twain called the book ""a tale for young people of all ages,"" and his thirteen-year-old daughter, Susy Clemens, called it ""unquestionably the best book he has ever written."" Foreword and notes by Victor Fischer and Michael B. Frank, text established by Victor Fischer. Original illustrations by Frank T. Merrill, John Harley, and L.S. Ipsen.",['Mark Twain'],http://books.google.com/books/content?id=hMpfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hMpfDwAAQBAJ&printsec=frontcover&dq=The+Prince+and+the+Pauper+(Mark+Twain+Library)&hl=&cd=1&source=gbs_api,Univ of California Press,1983-12,http://books.google.com/books?id=hMpfDwAAQBAJ&dq=The+Prince+and+the+Pauper+(Mark+Twain+Library)&hl=&source=gbs_api,['Fiction'],
A Connecticut Yankee in King Arthur's Court (Mark Twain Library),"Hank Morgan awakens one morning to find he has been transported from nineteenth-century New England to sixth-century England and the reign of King Arthur and the Knights of the Round Table. Morgan brings to King Arthur’s utopian court the ingenuity of the future, resulting in a culture clash that is at once satiric, anarchic, and darkly comic. Critically deemed one of Twain’s finest and most caustic works, A Connecticut Yankee in King Arthur’s Court is both a delightfully entertaining story and a disturbing analysis of the efficacy of government, the benefits of progress, and the dissolution of social mores. It remains as powerful a work of fiction today as it was upon its first publication in 1889.",['Mark Twain'],http://books.google.com/books/content?id=_Hok5PDrmOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_Hok5PDrmOAC&printsec=frontcover&dq=A+Connecticut+Yankee+in+King+Arthur%27s+Court+(Mark+Twain+Library)&hl=&cd=1&source=gbs_api,Modern Library,2001-12-04,http://books.google.com/books?id=_Hok5PDrmOAC&dq=A+Connecticut+Yankee+in+King+Arthur%27s+Court+(Mark+Twain+Library)&hl=&source=gbs_api,['Fiction'],
My summer in a garden,"Oft quoted but seldom credited,Charles Dudley Warner’s My Summer in a Garden is a classic of American garden writing and was a seminal early work in the then fledgling genre of American nature writing. Warner—prominent in his day as a writer and newspaper editor—was a dedicated amateur gardener who shared with Mark Twain, his close friend and neighbor, a sense of humor that remains deliciously fresh today. In monthly dispatches, Warner chronicles his travails in the garden, where he and his cat, Calvin, seek to ward off a stream of interlopers, from the neighbors’ huge-hoofed cows and thieving children, to the reviled, though “propagatious,” pusley weed. To read Warner is to join him on his rounds of his beloved vegetable patch, to feel the sun on his sore back, the hoe in his blistered hands, and yet, like him, never to lose sight of “the philosophical implications of contact with the earth, and companionship with gently growing things.” This Modern Library edition is published with an extensive new Introduction by Allan Gurganus, author of Oldest Living Confederate Widow Tells All and The Practical Heart.",['Charles Dudley Warner'],http://books.google.com/books/content?id=nrdPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=nrdPEAAAQBAJ&dq=My+summer+in+a+garden&hl=&cd=1&source=gbs_api,Modern Library,2002-02-19,http://books.google.com/books?id=nrdPEAAAQBAJ&dq=My+summer+in+a+garden&hl=&source=gbs_api,['Gardening'],2.0
Huckleberry Dog (Adventures of Wishbone),"When confronted with protecting his personal freedom and helping his friend find lost treasure, Wishbone is reminded of the tale of a young boy who tries to escape his unhappy life and the runaway slave who befriends him.","['Alexander Steele', 'Mark Twain']",http://books.google.com/books/content?id=hKshtug_l2cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=hKshtug_l2cC&q=Huckleberry+Dog+(Adventures+of+Wishbone)&dq=Huckleberry+Dog+(Adventures+of+Wishbone)&hl=&cd=1&source=gbs_api,Lyrick Studios,2000,http://books.google.com/books?id=hKshtug_l2cC&dq=Huckleberry+Dog+(Adventures+of+Wishbone)&hl=&source=gbs_api,['Juvenile Fiction'],
A Tramp Abroad,"Twain's account of travelling in Europe, A TRAMP ABROAD (1880), sparkles with the author's shrewd observations and highly opinionated comments on Old World culture, and showcases his unparalleled ability to integrate humorous sketches, autobiographical tidbits, and historical anecdotes in a consistently entertaining narrative. Cast in the form of a walking tour through Germany, Switzerland, France and Italy, A TRAMP ABROAD includes among its adventures a voyage by raft down the Neckar and an ascent of Mount Blanc by telescope, as well as the author's attempts to study art - a wholly imagined activity Twain 'authenticated' with his own wonderfully primitive pictures included in this volume. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['Mark Twain'],http://books.google.com/books/content?id=podPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=podPEAAAQBAJ&printsec=frontcover&dq=A+Tramp+Abroad&hl=&cd=1&source=gbs_api,Penguin,1997-12-01,http://books.google.com/books?id=podPEAAAQBAJ&dq=A+Tramp+Abroad&hl=&source=gbs_api,['Travel'],
Redeye - A Western,"This New York Times Notable Book is a quirky tale of the Old West from the author of The Bible Salesman, “a master of comic timing” (Richmond Times-Dispatch). “A Hollywood pitchman might call Redeye Eudora Welty meets Mark Twain,” says the New York Times Book Review about Clyde Edgerton’s “small gem of a novel,” a witty adventure set on the nineteenth-century frontier. “A rollicking tale . . . The cliff dwellings of southwest Colorado attract a motley crew of explorers in 1892, each with a personal agenda. Abel Merriwether, a local rancher and amateur archaeologist, wants to explore and protect the site; Andrew Collier, an Englishman, wants to write about it; Billy Blankenship, a local businessman, wants to develop it for tourism; Bishop Thorpe, a Mormon saint, hopes to find proof that Jesus visited there 2000 years before; and Cobb Pittman, a drifter with a red-eyed dog, seeks revenge on Thorpe for the Mountain Meadows Massacre of 1875. How this diverse bunch converges for an ill-fated tour of the site is unforgettable. A master storyteller, Edgerton proves that he is in full command of his craft no matter what the setting.” —Library Journal",['Clyde Edgerton'],http://books.google.com/books/content?id=J4PuJTTSh44C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=J4PuJTTSh44C&printsec=frontcover&dq=Redeye+-+A+Western&hl=&cd=1&source=gbs_api,Algonquin Books,1995-01-04,https://play.google.com/store/books/details?id=J4PuJTTSh44C&source=gbs_api,['Fiction'],4.0
"A Connecticut Yankee in King Arthur's Court,","Featuring a new introduction and afterword, this classic social satire follows Yankee Hank Morgan after a blow to the head in nineteenth-century Connecticut transports him to 528 A.D., where he proceeds to modernize King Arthur's kingdom. Reprint.",['Mark Twain'],http://books.google.com/books/content?id=4sPvI3euFlUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=4sPvI3euFlUC&printsec=frontcover&dq=A+Connecticut+Yankee+in+King+Arthur%27s+Court,&hl=&cd=1&source=gbs_api",Penguin,2004,"http://books.google.com/books?id=4sPvI3euFlUC&dq=A+Connecticut+Yankee+in+King+Arthur%27s+Court,&hl=&source=gbs_api",['Fiction'],
Mark Twain in Eruption 1ST Edition,"No one ever accused Mark Twain of being a shrinking violet. Here is Twain as you've never read him before. Written as content for his autobiography, this is only some of the material the editor left out. After personal and business setbacks, this is an angrier, sometimes bitter, but still very funny Twain. Mark skewers Teddy Roosevelt, former business partners, various literary people, and recalls his meeting with Winston Churchill. He tell the tale of selling a dog that he didn't own to a general that he didn't know. And, relevant to today, he takes on the American plutocracy. For the first time, this long out-of-print volume is available as an affordable, well-formatted book for e-readers and smartphones. Be sure to LOOK INSIDE by clicking the cover above or download a sample.",['Mark Twain'],http://books.google.com/books/content?id=oQRrCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=oQRrCwAAQBAJ&pg=PP1&dq=Mark+Twain+in+Eruption+1ST+Edition&hl=&cd=1&source=gbs_api,BIG BYTE BOOKS,2016-01-20,https://play.google.com/store/books/details?id=oQRrCwAAQBAJ&source=gbs_api,['Humor'],
